step,datetime,actual_mw,static_prediction,dynamic_prediction,inline_prediction,static_rolling_mae,dynamic_rolling_mae,inline_rolling_mae,static_error,dynamic_error,inline_error,dynamic_retrain_count,dynamic_drift_active,inline_retrain_count,inline_drift_active,inline_retraining_in_progress
1644,2019-03-10 13:00:00,28294.236,28758.70748,29377.997779999998,29451.87037,2520.0218750000004,1156.3117527083336,1079.7146125000008,464.47148000000016,1083.761779999997,1157.6343699999998,1,False,1,False,False
1645,2019-03-10 14:00:00,27529.089,28666.60122,29139.661509999998,29015.008270000002,2427.9035843750003,1153.7728575000003,1080.9976897916674,1137.5122200000005,1610.5725099999981,1485.9192700000021,1,False,1,False,False
1646,2019-03-10 15:00:00,27068.876,28653.859389999998,28655.16609,28396.31204,2342.2463239583335,1113.0955379166671,1049.3344983333343,1584.9833899999976,1586.2900899999986,1327.4360400000005,1,False,1,False,False
1647,2019-03-10 16:00:00,27306.921,28707.3933,26407.051890000002,26420.65954,2256.7512479166667,1056.6404450000005,999.2523789583342,1400.4723000000013,899.869109999996,886.2614599999979,1,False,1,False,False
1648,2019-03-10 17:00:00,27734.779,28722.34758,24747.127299999996,24673.739390000002,2155.7039945833335,1012.9501939583338,955.305566458334,987.5685800000028,2987.651700000002,3061.039609999996,1,False,1,False,False
1649,2019-03-10 18:00:00,28374.272,29002.56772,23591.23247,23681.79139,2025.9582804166669,985.7634506250006,921.9751404166676,628.2957199999983,4783.039530000002,4692.480610000002,1,False,1,False,False
1650,2019-03-10 19:00:00,29729.241,29120.92234,22425.887759999998,22472.151289999994,1907.9731558333335,934.8400958333337,877.6233477083342,608.3186600000008,7303.353240000004,7257.0897100000075,1,False,1,False,False
1651,2019-03-10 20:00:00,29784.176,29174.41477,22587.007640000003,22627.938869999998,1774.3790929166669,873.2814350000004,819.066453958334,609.7612300000001,7197.168359999996,7156.237130000001,1,False,1,False,False
1652,2019-03-10 21:00:00,28776.418,29142.84296,22795.0621,22707.790310000004,1630.00145375,815.1229850000005,763.4264872916674,366.4249600000003,5981.355900000002,6068.6276899999975,1,False,1,False,False
1653,2019-03-10 22:00:00,27170.841,29112.669270000002,22993.825310000004,22787.92153,1533.6285504166665,788.4075027083336,723.8379341666674,1941.8282700000018,4177.0156899999965,4382.919470000001,1,False,1,False,False
1654,2019-03-10 23:00:00,25618.896,29112.669270000002,23282.41382,23222.40988,1496.2108604166667,775.7216160416671,717.5362541666674,3493.7732700000015,2336.482179999999,2396.4861200000014,1,False,1,False,False
1655,2019-03-11 00:00:00,24031.417,29118.12631,27910.78745,27245.36296,1534.9397589583332,774.1463035416673,721.9124622916675,5086.709309999998,3879.3704499999985,3213.9459599999973,1,False,1,False,False
1656,2019-03-11 01:00:00,23318.939,29081.10114,28944.24656,28136.49466,1615.452876041667,789.1301210416673,737.1708564583341,5762.16214,5625.307560000001,4817.555660000002,1,False,1,False,False
1657,2019-03-11 02:00:00,22997.882,29083.21941,29808.74417,29436.14087,1732.0308104166668,797.1801781250006,742.1582643750008,6085.33741,6810.86217,6438.258869999998,1,False,1,False,False
